 ------------------------------------------------------------------- ------------- -------- ------ --------------------------------------------------------------------------------------------- 
  Name                                                                Method        Scheme   Host   Path                                                                                         
  api.action.product.combinations                                     GET           ANY      ANY    /api/v{version}/_action/product/{productId}/combinations                                     
  sales-channel-api.product.cross-selling                             GET           ANY      ANY    /sales-channel-api/v{version}/product/{id}/cross-selling                                     
  api.action.media-folder.dissolve                                    POST          ANY      ANY    /api/v{version}/_action/media-folder/{folderId}/dissolve                                     
  api.action.media.upload                                             POST          ANY      ANY    /api/v{version}/_action/media/{mediaId}/upload                                               
  api.action.media.rename                                             POST          ANY      ANY    /api/v{version}/_action/media/{mediaId}/rename                                               
  api.action.media.provide-name                                       GET           ANY      ANY    /api/v{version}/_action/media/provide-name                                                   
  api.action.mail_template.send                                       POST          ANY      ANY    /api/v{version}/_action/mail-template/send                                                   
  api.action.mail_template.validate                                   POST          ANY      ANY    /api/v{version}/_action/mail-template/validate                                               
  api.action.import_export.features                                   GET           ANY      ANY    /api/v{version}/_action/import-export/features                                               
  api.action.import_export.initiate                                   POST          ANY      ANY    /api/v{version}/_action/import-export/prepare                                                
  api.action.import_export.process                                    POST          ANY      ANY    /api/v{version}/_action/import-export/process                                                
  api.action.import_export.file.download                              GET           ANY      ANY    /api/v{version}/_action/import-export/file/download                                          
  api.action.import_export.cancel                                     POST          ANY      ANY    /api/v{version}/_action/import-export/cancel                                                 
  sales-channel-api.newsletter.subscribe                              POST          ANY      ANY    /sales-channel-api/v{version}/newsletter/subscribe                                           
  sales-channel-api.newsletter.confirm                                POST          ANY      ANY    /sales-channel-api/v{version}/newsletter/confirm                                             
  sales-channel-api.newsletter.unsubscribe                            POST          ANY      ANY    /sales-channel-api/v{version}/newsletter/unsubscribe                                         
  api.action.product_export.validate                                  POST          ANY      ANY    /api/v{version}/_action/product-export/validate                                              
  api.action.product_export.preview                                   POST          ANY      ANY    /api/v{version}/_action/product-export/preview                                               
  api.seo-url-template.validate                                       POST          ANY      ANY    /api/v{version}/_action/seo-url-template/validate                                            
  api.seo-url-template.preview                                        POST          ANY      ANY    /api/v{version}/_action/seo-url-template/preview                                             
  api.seo-url-template.context                                        POST          ANY      ANY    /api/v{version}/_action/seo-url-template/context                                             
  api.seo-url.canonical                                               PATCH         ANY      ANY    /api/v{version}/_action/seo-url/canonical                                                    
  api.seo-url-template.default                                        GET           ANY      ANY    /api/v{version}/_action/seo-url-template/default/{routeName}                                 
  store-api.category.detail                                           GET|POST      ANY      ANY    /store-api/v{version}/category/{navigationId}                                                
  store-api.navigation                                                GET|POST      ANY      ANY    /store-api/v{version}/navigation/{requestActiveId}/{requestRootId}                           
  store-api.product.listing                                           POST          ANY      ANY    /store-api/v{version}/product-listing/{categoryId}                                           
  store-api.search                                                    POST          ANY      ANY    /store-api/v{version}/search                                                                 
  store-api.search.suggest                                            POST          ANY      ANY    /store-api/v{version}/search-suggest                                                         
  store-api.cms.detail                                                GET|POST      ANY      ANY    /store-api/v{version}/cms/{id}                                                               
  store-api.contact.form                                              POST          ANY      ANY    /store-api/v{version}/contact-form                                                           
  store-api.newsletter.confirm                                        POST          ANY      ANY    /store-api/v{version}/newsletter/confirm                                                     
  store-api.newsletter.subscribe                                      POST          ANY      ANY    /store-api/v{version}/newsletter/subscribe                                                   
  store-api.newsletter.unsubscribe                                    POST          ANY      ANY    /store-api/v{version}/newsletter/unsubscribe                                                 
  store-api.seo.url                                                   GET|POST      ANY      ANY    /store-api/v{version}/seo-url                                                                
  api.action.order.convert-to-cart                                    POST          ANY      ANY    /api/v{version}/_action/order/{orderId}/convert-to-cart/                                     
  api.action.order.recalculate                                        POST          ANY      ANY    /api/v{version}/_action/order/{orderId}/recalculate                                          
  api.action.order.add-product                                        POST          ANY      ANY    /api/v{version}/_action/order/{orderId}/product/{productId}                                  
  api.action.order.add-credit-item                                    POST          ANY      ANY    /api/v{version}/_action/order/{orderId}/creditItem                                           
  api.action.order.add-line-item                                      POST          ANY      ANY    /api/v{version}/_action/order/{orderId}/lineItem                                             
  api.action.order.replace-order-address                              POST          ANY      ANY    /api/v{version}/_action/order-address/{orderAddressId}/customer-address/{customerAddressId}  
  api.action.calculate-price                                          POST          ANY      ANY    /api/v{version}/_action/calculate-price                                                      
  payment.finalize.transaction                                        GET|POST      ANY      ANY    /payment/finalize-transaction                                                                
  sales-channel-api.checkout.cart.detail                              GET           ANY      ANY    /sales-channel-api/v{version}/checkout/cart                                                  
  sales-channel-api.checkout.cart.create                              POST          ANY      ANY    /sales-channel-api/v{version}/checkout/cart                                                  
  sales-channel-api.checkout.frontend.cart.product.add                POST          ANY      ANY    /sales-channel-api/v{version}/checkout/cart/product/{id}                                     
  sales-channel-api.checkout.frontend.cart.code.add                   POST          ANY      ANY    /sales-channel-api/v{version}/checkout/cart/code/{code}                                      
  sales-channel-api.checkout.cart.line-item.add                       POST          ANY      ANY    /sales-channel-api/v{version}/checkout/cart/line-item/{id}                                   
